Customer,Risk,Amount
Instituition,High,154108
Corporation,High,91484
SME,Medium,226818
Instituition,Medium,253762
SME,High,380401
Corporation,Low,271719
Corporation,High,432120
SME,Medium,227500
Corporation,Low,307189
SME,Medium,69687
Corporation,Medium,331843
Instituition,High,561025
Instituition,High,425996
Individual,High,198142
Corporation,Medium,97440
Instituition,Low,130049
Individual,Medium,365802
Corporation,Medium,156887
SME,High,68332
Individual,Low,578215
Corporation,High,88559
Instituition,Low,384530
Individual,Low,365401
Corporation,Medium,566810
Individual,Low,425982
Instituition,Low,225655
SME,Medium,499421
Individual,Low,269518
Individual,Low,100891
SME,Medium,384999
Instituition,Low,223623
Individual,Low,472194
Corporation,High,176901
Individual,Low,412336
Corporation,High,105936
Individual,Medium,446961
Individual,Low,153960
Individual,Low,489349
Corporation,High,29989
Individual,Medium,263803
SME,Medium,127807
Corporation,Low,420619
SME,High,275659
SME,Medium,543045
SME,Medium,265206
Individual,Low,509539
Instituition,Medium,575909
Individual,Medium,461247
Individual,Low,261353
SME,High,169329
SME,Medium,555868
Corporation,Low,468633
SME,High,485761
SME,High,205153
Instituition,Medium,127390
Instituition,Low,220690
Individual,Low,326468
Individual,Medium,149980
SME,Medium,236624
Instituition,Medium,48210
Corporation,Medium,345379
SME,Medium,436134
Instituition,Low,52278
Individual,High,192528
SME,Medium,394261
Individual,High,586071
SME,Low,460534
SME,High,566775
Corporation,Low,444062
SME,Low,565936
Individual,High,152724
Individual,High,150495
Instituition,Medium,301236
Corporation,High,251505
Corporation,Low,530880
SME,Low,146912
SME,Low,70558
Corporation,High,180582
Individual,Low,465592
Corporation,Low,530888
Corporation,Medium,276654
Instituition,Medium,366350
SME,Medium,142651
SME,Low,255725
Corporation,Low,338990
SME,Medium,350508
Instituition,Medium,268526
Instituition,Medium,147370
Instituition,Medium,493968
SME,Low,43640
Instituition,High,201231
Individual,Low,477326
Instituition,High,573139
Individual,Medium,563131
Individual,High,164299
Instituition,Medium,223421
Instituition,Low,212099
Instituition,High,138604
Individual,High,118456
SME,Low,414449
Corporation,Low,458066
Individual,Low,473779
Corporation,Low,154387
Corporation,Low,362746
Corporation,Medium,278314
Individual,Low,119904
SME,Low,328647
Individual,Low,33056
Individual,Low,420625
Instituition,High,543570
SME,Medium,346491
Individual,Medium,500589
SME,Medium,447401
Individual,High,360176
Instituition,Low,42736
SME,High,145254
SME,Medium,429122
Instituition,High,216792
Instituition,Low,513858
SME,Medium,513426
Individual,Low,138095
SME,Medium,389161
Individual,High,547443
Individual,Medium,115709
Individual,High,449339
Corporation,Medium,188610
Instituition,Medium,41020
Instituition,Low,528594
SME,Medium,277676
Instituition,High,440807
Corporation,Medium,266675
Instituition,Low,505510
Corporation,High,397706
Instituition,Low,370236
Individual,Low,464210
Instituition,Low,270674
Individual,Medium,478318
SME,Medium,347534
Individual,Low,104358
Instituition,Medium,581755
Corporation,High,288085
Individual,Low,349538
Instituition,Medium,577433
Corporation,Low,271893
Individual,Low,417231
Corporation,High,330674
Corporation,High,295217
Instituition,Low,424157
SME,Low,217181
Individual,Low,572153
Individual,High,581615
Instituition,High,202548
Instituition,Low,467865
Individual,High,416604
Individual,Low,476791
Instituition,Low,216482
Corporation,High,329106
Individual,Low,71533
Corporation,Medium,48244
Corporation,High,590385
SME,Medium,430412
SME,Low,103088
Instituition,Low,495204
Corporation,Low,90326
SME,Medium,402951
SME,High,239103
SME,High,463419
Corporation,High,184944
Corporation,Low,438127
SME,Low,487178
Instituition,Low,147734
Corporation,High,108122
Individual,Low,282299
SME,High,81136
SME,Low,248544
Individual,Medium,515545
Corporation,High,191389
Corporation,High,181030
Corporation,High,134406
SME,Low,66682
Corporation,Low,580317
SME,High,54248
Instituition,Medium,150974
Instituition,Low,233777
Individual,High,281651
SME,Low,336565
SME,Low,82097
Instituition,High,387810
SME,Medium,177888
Individual,Medium,211780
SME,High,512654
Individual,Medium,255819
Corporation,High,140970
Individual,High,417793
Individual,Low,517642
Corporation,Low,200342
SME,Low,154765
SME,Low,378841
Corporation,Medium,535319
Corporation,High,291921
SME,Medium,394321
Corporation,Low,326772
Individual,High,202145
Individual,Medium,248197
Individual,Medium,89799
Instituition,Low,479756
Instituition,Low,353025
Instituition,Medium,199402
Instituition,High,194248
Individual,Low,598678
Individual,Medium,218120
Instituition,Medium,150948
Instituition,Medium,364586
Individual,High,522005
SME,Low,326217
Corporation,Medium,27798
SME,Low,399192
Instituition,Low,60163
Corporation,High,91298
Instituition,High,245705
Individual,Low,144528
SME,Medium,512437
Corporation,Low,265504
Corporation,High,417584
Instituition,High,588346
Instituition,Medium,527602
Corporation,Low,187389
Individual,Medium,38021
SME,Medium,458013
Instituition,Low,65208
Corporation,Medium,350812
SME,Low,389593
Instituition,High,400368
Individual,Medium,502633
Corporation,High,368904
Instituition,Low,49948
Instituition,Low,394805
Individual,Low,207248
Instituition,Low,64564
Individual,High,121503
Instituition,Low,384395
SME,Medium,207323
SME,Medium,377470
Instituition,Medium,198546
Instituition,Low,399996
Corporation,Low,145868
Individual,High,426710
Individual,Low,346754
Individual,Low,572421
SME,Low,145867
SME,High,162262
Instituition,Medium,28119
SME,Low,128010
SME,Medium,196700
Individual,Medium,578809
Corporation,Low,518456
SME,Low,402303
Individual,High,403628
Individual,Medium,205464
Individual,Medium,70922
Instituition,High,158117
SME,Low,66932
SME,High,356471
Individual,Low,479263
Instituition,Medium,333732
Corporation,High,254511
Corporation,Low,228177
Individual,High,160175
Instituition,High,589957
Instituition,Medium,584403
SME,Medium,469745
Instituition,High,339502
SME,Medium,70951
Individual,Medium,305897
Instituition,High,261664
SME,High,488530
Instituition,Low,549066
Instituition,Low,593404
Corporation,Low,418904
Corporation,Low,231864
SME,Medium,265560
Corporation,High,164464
SME,Low,292688
Individual,High,172073
Individual,Low,509810
Instituition,Low,85798
Corporation,Medium,31264
Corporation,Medium,140394
SME,High,358115
Corporation,High,445814
Corporation,Medium,558605
Individual,Medium,514714
SME,High,340668
SME,High,593056
Corporation,High,214234
Instituition,High,93327
SME,Medium,412881
Instituition,Low,56551
Corporation,High,208540
Corporation,Medium,495779
Individual,High,164749
Instituition,Medium,229136
SME,Low,289339
SME,Medium,141080
Corporation,Medium,305148
SME,Medium,108383
Corporation,Medium,399526
Corporation,Medium,211584
Instituition,Low,191532
Corporation,Medium,430141
Corporation,Low,557002
Individual,High,349634
Instituition,Low,364688
SME,Medium,396177
SME,Low,403711
Corporation,Medium,286632
Individual,High,81841
SME,High,433998
Instituition,Medium,452632
SME,Low,227657
Individual,Low,359768
Corporation,Medium,129309
Individual,High,240719
Corporation,Medium,573130
Corporation,Low,198447
Corporation,Medium,320566
Instituition,Low,264957
Corporation,High,407442
Corporation,High,132946
Instituition,High,199344
Instituition,Medium,335726
SME,Medium,370935
Individual,High,246220
SME,High,499655
Corporation,Medium,296213
Instituition,High,262377
Individual,Low,47948
SME,High,232632
Corporation,Medium,154984
Corporation,Medium,142275
Instituition,Medium,237555
Instituition,High,473972
Individual,Medium,530932
Instituition,High,520741
SME,Medium,304059
Individual,Low,155672
SME,High,507421
Corporation,High,316569
Individual,High,195521
Corporation,High,442147
Individual,High,526119
Instituition,High,130670
Instituition,Medium,178006
Instituition,Medium,447194
SME,Low,240930
Corporation,High,394272
Instituition,Medium,463121
Instituition,High,253063
Corporation,Medium,92753
Individual,High,540481
Individual,Low,567400
Individual,High,471014
SME,Low,155664
Individual,High,44368
Corporation,Low,130305
Corporation,Medium,568161
Corporation,Medium,477096
SME,Medium,583736
Individual,High,239603
SME,Low,471750
Corporation,Medium,405466
Individual,Medium,139916
Individual,Medium,189610
SME,Medium,547880
Individual,Low,424020
SME,Medium,125372
Individual,Medium,181487
Corporation,Medium,579696
Instituition,Low,172140
Corporation,High,406151
Individual,Low,468224
SME,Low,183206
SME,High,545928
Instituition,Low,175975
SME,High,29885
Corporation,High,235359
SME,High,78161
SME,Low,180364
Individual,High,357305
Individual,Medium,62201
Corporation,Low,524521
SME,High,172723
SME,Medium,410100
SME,High,138264
Corporation,High,434586
Corporation,Low,204221
Corporation,Low,142931
Corporation,High,446876
Individual,High,394129
SME,Medium,247626
Individual,High,244686
SME,High,114080
SME,Medium,539037
SME,Low,499305
Corporation,High,597844
Individual,High,407943
Corporation,Medium,225589
Corporation,Low,360815
Instituition,High,478466
Individual,Medium,537380
Individual,Medium,210745
Individual,Low,240219
Corporation,High,133430
Instituition,Medium,482762
Instituition,Medium,289338
SME,High,517446
Instituition,High,201891
SME,Low,216493
Instituition,Low,179904
Individual,High,135536
Individual,Low,25581
Individual,High,335911
Instituition,High,332927
Corporation,Low,387054
Corporation,High,66040
SME,High,83453
Instituition,High,212729
SME,Low,44005
Individual,Medium,69730
SME,High,502860
Corporation,Medium,415290
Corporation,Medium,200347
Individual,Medium,403731
Individual,Low,64472
Individual,High,302542
Corporation,High,249640
SME,Medium,535722
SME,Medium,471758
Individual,High,340462
Corporation,Medium,451406
Corporation,High,299612
Corporation,Low,528378
SME,High,423191
Corporation,Low,106924
Corporation,High,584984
SME,Medium,177647
Individual,Medium,95049
Corporation,Medium,52647
Individual,High,182145
SME,Medium,239430
Corporation,High,425371
SME,Medium,387628
Individual,High,524767
Corporation,High,593395
Corporation,High,146382
Instituition,Low,227092
Corporation,High,127258
Individual,Low,195193
Instituition,Medium,36068
Instituition,Medium,521334
Corporation,Medium,277323
Instituition,Medium,148089
Instituition,High,575719
Corporation,High,457839
Instituition,Medium,252591
SME,Low,576446
SME,High,480230
Instituition,Low,375096
Corporation,Low,588977
SME,Low,354795
SME,Low,438132
Individual,Medium,52932
SME,High,265575
Individual,Low,166777
Individual,High,467913
Instituition,Medium,155268
Individual,Medium,432583
SME,Medium,587343
Instituition,Medium,240834
Individual,High,111632
Corporation,Low,181293
Individual,High,151238
SME,Low,25122
Instituition,Medium,242279
Corporation,Low,85305
Individual,Low,433756
Instituition,High,77463
Individual,High,552285
Corporation,High,380516
Individual,Medium,165879
SME,High,366931
Instituition,Low,41247
Instituition,Medium,338603
SME,Medium,447137
Individual,High,336275
Individual,Low,543305
Instituition,Medium,211882
SME,Low,322382
Individual,High,173102
Individual,High,72596
Individual,High,201397
SME,Low,28654
Corporation,Medium,349989
Corporation,Medium,29801
Individual,Low,240036
Individual,Low,479330
Individual,Low,100218
Individual,Medium,136984
SME,Medium,470220
Individual,High,158409
Individual,Low,323644
Individual,High,258822
Individual,Low,373296
Corporation,Medium,140257
Individual,Medium,513288
Individual,High,430609
Corporation,High,317246
Instituition,High,396227
Instituition,Medium,39703
Individual,High,223439
Instituition,Low,36497
Corporation,Low,374329
Individual,Low,461236
Corporation,Low,314479
SME,Medium,319494
SME,High,583002
Individual,High,362490
Individual,High,90147
Corporation,Low,364351
Instituition,Low,128708
Individual,Medium,38925
Individual,Medium,346669
Instituition,High,586657
SME,High,48854
SME,Low,37718
Individual,High,367766
Corporation,Medium,447326
Instituition,High,225273
Corporation,Medium,418280
SME,Medium,487874
Individual,Low,269405
Individual,High,81201
Corporation,Medium,241510
Instituition,Medium,131137
SME,Medium,263324
Corporation,Low,390391
SME,High,171674
SME,High,131659
Corporation,Medium,359912
SME,High,373789
Instituition,High,542922
Instituition,Low,277386
SME,High,37711
Individual,Medium,62855
Corporation,Medium,130299
Individual,High,560352
Corporation,Medium,219049
Corporation,High,395624
Individual,Low,73379
Individual,High,285231
Instituition,Low,496814
Instituition,Low,453943
SME,Medium,349952
Instituition,High,257119
SME,Low,26973
Instituition,Low,328053
Instituition,Low,359020
SME,High,148158
Instituition,Low,30707
SME,Medium,564270
SME,Low,521058
Corporation,High,289884
Individual,Medium,90356
SME,High,449723
Corporation,Medium,215352
Corporation,Low,281386
SME,Medium,456544
Corporation,Low,65195
Corporation,High,77468
Corporation,Low,566726
SME,High,162056
Individual,High,547901
Individual,Low,437235
Corporation,Low,392775
Corporation,Low,201301
Individual,Low,358142
Corporation,Medium,344629
SME,Low,251572
Instituition,Low,440128
Instituition,Low,245029
Individual,Medium,199900
Instituition,High,517569
SME,Medium,108561
Individual,High,32960
Instituition,High,490760
Corporation,High,316518
Corporation,Low,482461
Individual,High,383410
Instituition,High,534604
Instituition,Low,497651
Corporation,Medium,105820
Individual,Medium,182005
Corporation,Medium,188788
Individual,Low,507645
Corporation,Medium,321756
Corporation,Medium,37955
Instituition,High,373169
Individual,Low,484814
Individual,Low,277235
Instituition,High,428531
Corporation,Medium,445290
Instituition,Low,329785
Corporation,High,57376
SME,Medium,270640
Instituition,Low,218104
Corporation,Low,335754
Individual,Medium,540206
Corporation,Medium,588644
Corporation,High,276888
Individual,Medium,329402
SME,High,572711
Individual,High,163841
Instituition,High,529146
Individual,Medium,427205
SME,Medium,508273
SME,Low,154086
SME,High,241838
Instituition,High,138019
Individual,Low,172760
SME,High,563515
Individual,Medium,90003
Corporation,Low,368844
Corporation,Low,123331
Individual,High,276980
Corporation,High,270428
Individual,Medium,76445
SME,Low,310534
Instituition,Low,425232
Corporation,Medium,347291
SME,Low,339719
Individual,Low,263723
SME,High,379434
Individual,High,124941
Instituition,High,161466
Corporation,Medium,99362
Corporation,High,556724
Corporation,High,175856
Individual,Low,290209
SME,High,282619
Individual,Medium,192273
Instituition,Medium,576899
Individual,Medium,411486
Individual,Low,567910
Corporation,Medium,169462
Corporation,Medium,34549
Instituition,High,312346
Individual,High,490280
Instituition,High,377719
Individual,Medium,307627
SME,High,443725
Individual,High,290493
Individual,High,532346
Individual,High,428252
Instituition,Low,168011
SME,High,528934
SME,Low,306120
SME,Low,584093
Individual,Low,81581
Corporation,Medium,463072
Individual,High,519827
SME,Low,249286
Corporation,Low,480272
Corporation,High,197462
Corporation,Medium,73062
Individual,Low,165151
Corporation,Low,592903
Corporation,Low,491915
SME,Low,255983
Individual,High,366138
Corporation,Low,295176
Instituition,High,446214
SME,Low,491837
Individual,High,204360
Instituition,Medium,496569
Individual,Medium,505534
SME,High,552944
Corporation,Low,448898
SME,Medium,221758
SME,Low,320683
Individual,High,532938
Corporation,Low,561490
Corporation,Low,75468
Individual,Medium,514448
Corporation,High,497941
Corporation,High,144973
Individual,Medium,419269
Corporation,Medium,256714
Instituition,Low,303038
SME,Medium,335220
Corporation,Low,369041
Instituition,Medium,53518
Individual,High,584703
Individual,Low,374808
SME,High,382111
SME,Low,329234
SME,Medium,473801
Corporation,Medium,103180
Corporation,Low,344292
Corporation,High,554950
Instituition,Low,578457
Instituition,High,238216
Individual,Medium,183461
Individual,Medium,430043
SME,Medium,501992
SME,High,500987
SME,Medium,560186
Individual,Low,265075
Individual,Low,32797
SME,Medium,202538
SME,Medium,358657
Corporation,Low,572567
Corporation,High,584584
Corporation,Low,435239
SME,Medium,403021
Individual,Medium,267405
SME,High,299299
SME,High,358240
Instituition,Medium,74420
SME,Low,188427
Instituition,High,189135
Individual,High,205137
Individual,Medium,360042
Instituition,High,302276
SME,High,152916
SME,High,74590
Individual,High,346127
Individual,Low,216952
Individual,High,341746
Corporation,Low,465545
Instituition,Medium,463677
Instituition,Low,269895
Instituition,High,415876
Corporation,Low,562027
Corporation,Medium,441669
Instituition,High,451833
Individual,Low,172826
Instituition,High,364244
SME,Medium,43433
SME,Low,134442
SME,High,316654
Corporation,High,358747
Corporation,High,228831
Instituition,Medium,273501
Corporation,High,478400
SME,Medium,521406
SME,Medium,303067
Instituition,Medium,472608
Individual,High,78964
Individual,High,589345
Instituition,High,313970
Instituition,Low,132353
Individual,High,456369
SME,High,276168
Instituition,High,501678
Individual,Medium,473690
SME,Medium,575504
Corporation,High,387406
SME,High,106049
Corporation,High,294851
Instituition,Medium,582927
SME,Medium,232078
Individual,Medium,124643
Corporation,High,480432
Individual,High,545846
Individual,Medium,266979
Instituition,Medium,96479
Individual,Medium,598641
SME,Low,575505
SME,Low,98851
SME,Low,275837
SME,High,367281
Instituition,High,138136
Individual,High,295668
Instituition,Low,403055
Individual,High,216985
SME,High,352381
Individual,Medium,406797
Individual,Low,363568
Corporation,Low,359202
Instituition,High,542832
SME,Low,111895
Corporation,High,499492
SME,Medium,434475
Individual,Medium,310257
Instituition,Medium,80678
SME,Low,423596
Instituition,High,77687
SME,High,550137
Individual,Low,78670
Individual,Low,103095
Instituition,Medium,172739
SME,Low,325095
SME,Low,60873
Individual,High,93768
Individual,High,391450
Instituition,Low,144830
Corporation,Low,477833
SME,High,333736
SME,Low,268054
SME,Medium,186998
Instituition,High,26574
Instituition,Low,282738
Individual,Medium,552021
Corporation,Low,581401
SME,High,130810
Individual,Low,234908
Corporation,Low,469936
Individual,High,515815
SME,Medium,493876
Individual,High,400961
Instituition,Medium,367613
Corporation,High,398921
SME,Low,518197
Corporation,High,593687
Instituition,High,109598
Individual,High,397720
Corporation,High,35520
Individual,Low,221837
Instituition,Medium,260729
Individual,Low,436445
Individual,High,238705
Instituition,Medium,250288
Instituition,Low,517662
SME,High,482567
Corporation,Low,211785
SME,High,561388
Instituition,Low,209120
Individual,Low,41331
Instituition,Medium,77800
Corporation,Medium,498630
Instituition,Medium,326388
SME,Low,495459
SME,Medium,586480
Corporation,Low,454909
SME,High,138919
Individual,High,125304
Individual,Medium,301638
Corporation,Low,81845
SME,Medium,128465
Individual,Low,158694
Corporation,Medium,322051
Individual,Low,296354
Corporation,High,49534
Individual,Low,503319
Individual,Low,489873
Instituition,High,424671
Instituition,High,439618
Corporation,Medium,566086
SME,Medium,382103
SME,Medium,553267
Individual,Low,179155
Corporation,High,314696
Corporation,High,228366
SME,High,177297
SME,High,455943
Instituition,Low,177403
SME,Medium,230698
Corporation,Low,522333
Corporation,Medium,591085
Corporation,Medium,328333
SME,Low,528927
Corporation,High,295051
Instituition,Medium,164939
Individual,Medium,327148
SME,Medium,262528
Instituition,Low,254033
Individual,Low,285111
Individual,High,218756
Instituition,Medium,455841
Corporation,Low,459942
SME,Medium,320513
Individual,High,306478
Corporation,High,465076
Instituition,Medium,426562
Individual,High,278377
Individual,Medium,567107
Instituition,Low,139193
Corporation,Medium,69108
Individual,High,344574
Instituition,Medium,410330
Individual,Medium,544862
Instituition,Low,113367
SME,High,559356
Individual,Medium,205562
Instituition,Medium,389026
SME,Low,204514
Corporation,High,294154
Corporation,Medium,424675
Instituition,High,341946
Corporation,Low,498097
SME,High,468999
Corporation,High,228404
SME,High,233978
SME,High,373638
SME,Low,37251
Instituition,Low,68647
SME,Low,100275
SME,High,36871
Instituition,Medium,381224
SME,Low,426937
Individual,Low,184025
Individual,Low,229394
Instituition,Low,472521
Corporation,High,170480
SME,High,455808
Instituition,Low,511019
SME,Low,513465
Individual,Low,466559
SME,Medium,300714
Individual,Medium,457852
SME,High,409645
SME,High,30155
Corporation,Medium,372875
Corporation,Medium,107103
Corporation,Medium,348401
Instituition,High,535830
Corporation,Medium,118459
Individual,High,98159
SME,Low,54717
SME,Medium,298369
Corporation,Medium,176738
Individual,High,34014
SME,Low,259795
Corporation,Low,500624
SME,Medium,293398
SME,High,568889
SME,Low,258294
Individual,High,309704
SME,Low,339673
SME,Medium,556261
Corporation,Low,535805
Instituition,High,108065
SME,Medium,481541
Corporation,Medium,42648
SME,Low,321427
Instituition,Low,66951
Corporation,Low,450270
Individual,Low,414702
Instituition,Medium,371103
Individual,High,121178
Corporation,Medium,502947
Instituition,Medium,151640
Instituition,Medium,417663
Corporation,Low,576867
Corporation,Low,297105
Corporation,Medium,380160
Individual,High,441618
Instituition,High,310576
Corporation,Low,531591
SME,High,267918
Individual,Medium,475674
Instituition,Medium,244993
Individual,Medium,290085
Corporation,High,192924
Corporation,Medium,426205
Instituition,Low,351763
Corporation,Low,98109
Instituition,High,227375
Corporation,Medium,177535
SME,Low,558340
Instituition,High,376200
Individual,High,578379
Instituition,Medium,398276
SME,Medium,327551
Individual,Low,190573
Instituition,High,460534
SME,Medium,35913
Instituition,Low,43978
Instituition,Medium,411797
Individual,High,467438
Instituition,Low,204956
Instituition,High,412586
Individual,Medium,481829
Instituition,Low,343401
Instituition,Low,173353
SME,Medium,125888
Corporation,Medium,99848
SME,High,123571
Corporation,High,77929
Corporation,High,323092
Individual,Low,460623
Instituition,Low,523964
Individual,Medium,469323
SME,Medium,550603
Individual,Low,429456
SME,Medium,464604
Instituition,Medium,388981
Individual,Low,113032
Individual,High,41953
SME,High,183858
SME,Low,435154
Instituition,High,296966
Individual,High,367965
Instituition,Low,231373
Corporation,Medium,319667
Corporation,High,333331
Instituition,Medium,139663
SME,Low,337815
Individual,High,120866
SME,High,486176
Individual,Low,58973
Individual,Low,461314
Individual,High,115517
Corporation,Medium,96626
Corporation,High,240856
Instituition,Low,47393
Instituition,Medium,423011
Individual,Low,250986
SME,High,315315
Individual,Medium,128920
Corporation,High,459474
SME,Low,536962
Individual,Low,582546
Individual,High,358071
Instituition,Low,357605
Instituition,High,536492
Corporation,High,235008
Individual,High,278527
Corporation,High,482334
Individual,High,32205
SME,Medium,218854
Instituition,Medium,121923
SME,Medium,388829
SME,High,149786
Corporation,High,119168
Corporation,High,201920
Corporation,High,508921
Corporation,Low,547728
Instituition,High,381853
Individual,Medium,146780
Corporation,Low,144842
Individual,Medium,547136
Corporation,Low,437279
Individual,Low,149921
Instituition,Low,343605
Individual,Medium,553707
Instituition,High,86883
Individual,Medium,125436
Individual,High,555036
Corporation,High,296365
Corporation,High,220479
Individual,Medium,38596
Corporation,Medium,363313
Corporation,Medium,81318
Individual,Low,262055
Corporation,Medium,261647
SME,Medium,231309
Individual,Medium,66712
Corporation,High,511007
Individual,High,394619
SME,High,29134
Corporation,Medium,185880
SME,Low,549620
Individual,High,237417
Corporation,High,549479
SME,Low,508675
SME,Medium,103407
Individual,High,439845
Individual,Low,98784
SME,Medium,33712
Individual,Medium,531923
Individual,Low,35185
Individual,Medium,511796
SME,Low,158903
Corporation,High,157877
Instituition,Medium,139746
Corporation,High,534393
Instituition,Low,307361
Corporation,High,277604
Individual,High,247038
Corporation,Low,99754
Instituition,Low,486892
Instituition,High,162908
Individual,Medium,379859
Individual,High,141064
Instituition,High,269665
Individual,High,332465
Instituition,High,418582
Instituition,High,576691
SME,Low,583324
SME,High,107285
Corporation,Medium,473231
Individual,High,465991
Corporation,Low,115907
Corporation,Low,49612
SME,High,448780
Instituition,Low,545170
Instituition,Medium,348042
Individual,Medium,103493
Individual,Medium,558199
Individual,High,306129
Corporation,Low,132529
SME,Low,200136
Individual,High,251866
SME,Medium,429486
Instituition,Medium,294234
Corporation,High,108015
Corporation,Medium,191229
Individual,High,408156
Instituition,Low,322941
Corporation,High,163062
Individual,Low,465457
SME,Medium,587039
SME,Medium,434553
Instituition,Medium,168463
Corporation,Medium,116102
Individual,Low,210505
SME,Medium,587924
Individual,Medium,78763
Individual,High,478128
Instituition,High,321650
Instituition,Medium,510160
Corporation,Medium,584829
SME,Low,396115
Instituition,High,540230
Individual,Low,297485
Instituition,Medium,453185
Instituition,Low,234502
Corporation,Medium,64586
Corporation,High,246543
Instituition,High,594670
Individual,Medium,539544
Instituition,Low,141189
SME,Low,44632
SME,High,363654
SME,Medium,70043
SME,Medium,109971
SME,High,512559
SME,Medium,425454
Individual,Low,558429
Instituition,Low,235094
Instituition,High,368350
SME,Medium,177892
Corporation,Medium,518556
Corporation,Low,194505
SME,High,192903
Instituition,Low,578356
Instituition,Medium,562326
SME,Medium,308343
Instituition,Low,351599
Corporation,Low,113725
Corporation,High,261845
Individual,Low,45423
Individual,High,96813
SME,Low,54344
SME,Medium,483927
Individual,Medium,105964
Instituition,High,128289
Individual,Low,401303
Individual,Low,578877
SME,High,399659
Instituition,Low,366015
Corporation,Medium,252425
Instituition,Low,252753
Corporation,Medium,482282
SME,Low,94671
SME,Medium,386768
SME,High,394340
SME,High,132193
SME,Medium,247837
Individual,High,38103
Instituition,Medium,301705
Individual,Low,273802
Corporation,Low,343290
SME,High,64236
Individual,Medium,350296
Corporation,Medium,251462
Individual,Low,480983
Corporation,Medium,480348
SME,Medium,313826
Corporation,Medium,281591
SME,Medium,281611
Corporation,Low,518499
Individual,Low,519658
Individual,High,60872
SME,Medium,472359
Corporation,High,576499
Corporation,Low,440758
SME,High,448548
Corporation,High,341524
Corporation,Low,267824
SME,High,165027
Corporation,Medium,171052
SME,Low,54184
Individual,High,529118
Corporation,Medium,196731
Corporation,High,526869
Instituition,Medium,440975
SME,Medium,284681
SME,Low,381984
Individual,High,510275
Corporation,High,428340
Instituition,High,389803
Instituition,Low,185431
Corporation,Medium,100487
Instituition,Low,377029
Instituition,Medium,30909
Instituition,Medium,455207
Instituition,High,160455
Instituition,High,68154
Corporation,Low,525541
Individual,Medium,434088
Instituition,Low,467240
Individual,High,447646
Corporation,Medium,118696
Individual,Medium,283805
Corporation,Low,68592
Corporation,Low,101236
Corporation,Medium,139691
SME,Low,310330
SME,Medium,367135
Corporation,Medium,457382
SME,Low,104180
Individual,Medium,594674
SME,Low,541042
Corporation,Low,589220
Corporation,Low,268763
Corporation,High,289564
Instituition,High,462838
SME,Low,564876
SME,Low,387227
Instituition,Medium,151030
Individual,Medium,206064
Individual,Low,384417
Instituition,High,562340
Individual,Low,125002
Individual,High,239042
Instituition,Low,325223
Individual,Low,465720
Instituition,High,589650
SME,Low,124402
Instituition,High,596360
SME,Low,276687
Individual,Medium,101512
Corporation,High,34652
SME,Medium,561888
SME,Low,585721
Instituition,Low,145432
Corporation,High,185714
SME,Low,110156
Instituition,Low,101636
Instituition,Low,27406
Individual,Medium,267241
Individual,High,503753
SME,Low,590194
Instituition,High,240147
Corporation,Medium,152355
Corporation,Medium,46925
Individual,Medium,516572
SME,Low,256424
Instituition,Low,49322
Instituition,High,210065
SME,Medium,173402
SME,Medium,545014
Corporation,High,505519
Corporation,High,283414
Instituition,High,405521
SME,Medium,440111
Instituition,Low,569757
Corporation,High,297472
Corporation,High,55575
Corporation,High,319313
Corporation,Low,256676
Individual,Low,494618
Individual,Low,433139
Instituition,Low,303732
SME,Low,258706
Instituition,Medium,121472
Corporation,Low,52209
Individual,Low,315581
Corporation,Medium,205604
Instituition,High,287555
Corporation,Medium,90920
Instituition,Low,550381
Instituition,High,55588
SME,Low,591808
SME,Medium,158675
Individual,Medium,527844
Corporation,Low,183055
Individual,Medium,334428
SME,High,358918
SME,Medium,225167
Instituition,Medium,306189
Instituition,Medium,214241
Individual,Low,359760
Corporation,High,459272
SME,High,248163
Instituition,High,366908
Instituition,High,339998
Corporation,High,586375
Individual,Low,314543
Instituition,High,577199
Instituition,Low,301067
Corporation,Medium,538994
Individual,High,594459
Instituition,Low,500395
SME,Medium,404381
Individual,High,402878
Corporation,Low,425563
Individual,Low,337841
Corporation,High,51718
Individual,High,368979
Corporation,Medium,143892
Corporation,Medium,129943
Individual,Medium,239658
Individual,Low,251118
Instituition,High,145294
Instituition,High,107037
Corporation,High,196379
Corporation,Low,329769
Individual,Medium,358222
Corporation,Low,40072
Corporation,Low,520271
Individual,Medium,110647
Instituition,Low,524222
Individual,Low,456554
Corporation,High,480933
SME,Medium,281140
Corporation,High,429415
Instituition,High,109864
Individual,Low,234240
Individual,High,441877
Corporation,Low,443369
Individual,Low,402377
SME,Low,201714
Corporation,Low,180365
Instituition,Medium,451530
SME,Low,142111
Corporation,Medium,406015
SME,High,236879
SME,Low,308256
Individual,Medium,252522
Individual,Low,498011
Corporation,Medium,102108
Corporation,Medium,328515
SME,Low,301234
Corporation,Low,351415
SME,Medium,586933
Corporation,High,557443
SME,Low,443367
Corporation,High,224648
Individual,High,376132
Corporation,Medium,457512
SME,High,440951
SME,Low,146020
Instituition,Low,555185
Corporation,Medium,380382
Instituition,Low,467964
Instituition,Medium,526400
Corporation,Low,377372
Individual,Medium,433164
Instituition,Low,226350
Individual,Medium,419061
Individual,Medium,411891
Individual,High,78364
Corporation,High,380554
Individual,Medium,474932
Corporation,Medium,384801
SME,Low,105243
